<?xml version="1.0" encoding="utf-8"?>
<items>job_application_duration,job_location,job_posted_on,job_at,job_stipend,job_duration,job_start_date,job_title
,Bangalore,"
                            6 Apr, 2015                        ",Aapka Painter,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Software Development
,Bangalore,"
                            6 Apr, 2015                        ",Mantra4Change,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Teaching
,Noida,"
                            6 Apr, 2015                        ",AILERON INDIA,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Marketing
,Bangalore,"
                            6 Apr, 2015                        ",Kijag Technologies,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Writing & Social Media Marketing
,Bangalore,"
                            6 Apr, 2015                        ",Kijag Technologies,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",PHP Development
,Bangalore,"
                            6 Apr, 2015                        ",Kijag Technologies,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",UI/UX Design
,India,"
                            6 Apr, 2015                        ",Naipathya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Online Marketing
,Bangalore,"
                            6 Apr, 2015                        ",CallTruck,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Web & Mobile App Development
,Delhi,"
                            6 Apr, 2015                        ",Nisani,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Web Development
,Work From Home,"
                            6 Apr, 2015                        ",Nisani,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Social Media Marketing
,Delhi,"
                            6 Apr, 2015                        ",Nisani,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Android App Development
,Delhi,"
                            6 Apr, 2015                        ",Deals In Kart,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Data Entry
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Online Content Management And Assessments
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Development
,Work From Home,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Converter
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Mind Map Development
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Development (History/Civics/Commerce/Eco)
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Development (Geography)
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Development (English)
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Development (Physics)
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Development (Maths)
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Development (Hindi)
,Mumbai,"
                            6 Apr, 2015                        ",Shikshalaya,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Content Development (Chemistry)
,Chennai,"
                            6 Apr, 2015                        ",TalentSprint Pvt Ltd,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Marketing
,Work From Home,"
                            6 Apr, 2015                        ",Penumbra,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Design
,Pune,"
                            6 Apr, 2015                        ",REGENT R&D Technologiess P. Ltd,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",UI Design
,Pune,"
                            6 Apr, 2015                        ",REGENT R&D Technologiess P. Ltd,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Industrial Design
,Pune,"
                            6 Apr, 2015                        ",REGENT R&D Technologiess P. Ltd,"
                            27 Apr, 2015                        ","
                            2 Months                        ","
                            1 May, 2015                        ",Sales & Marketing
,Work From Home,"
                            6 Apr, 2015                        ",Fahim Sayed Photography,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Fashion Design
,Delhi,"
                            6 Apr, 2015                        ",ANANTA Business Services,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Sales & Marketing
,Work From Home,"
                            6 Apr, 2015                        ",Stagephod InfoSolutions,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Social Media Marketing
,Delhi,"
                            6 Apr, 2015                        ",Rudram MARKET,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Client Servicing
,Bangalore,"
                            6 Apr, 2015                        ",Sushma Industries,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Embedded Systems (R & D)
,Work From Home,"
                            6 Apr, 2015                        ",Proof Of Performance Data Services Pvt Ltd,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Business Coordination
,Delhi,"
                            6 Apr, 2015                        ",Riz Media,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Graphic Design
,Work From Home,"
                            6 Apr, 2015                        ",N'U' Student,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Business Development
,Bangalore,"
                            6 Apr, 2015                        ",Paper Kraft Design Studio,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Web Design (Graphics)
,Bangalore,"
                            6 Apr, 2015                        ",Jiffstore,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",On Field Marketing
,Ahmedabad,"
                            6 Apr, 2015                        ",Blue Eye Professionals,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Magento Development
,Work From Home,"
                            6 Apr, 2015                        ",Cbiance,"
                            27 Apr, 2015                        ","
                            2 Weeks                        ","
                            13 Apr, 2015                        ",Graphic Design
